userId,movieId,rating
1,300665,4
1,439502,4
1,271404,5
671,4896,5
671,4963,5
671,4993,5
671,4995,4
671,5010,2
671,5218,2
671,5299,3
671,5349,4
671,5377,4
671,5445,5
671,5464,3
671,5669,4
671,5902,4
671,5952,5
671,5989,4
671,5995,4
671,6212,3
671,6268,3
671,6269,4
671,6365,4
671,6385,3
671,6565,4
671,3996,4
671,4019,4
671,4022,4
671,4027,4
671,4033,4
671,4034,5
671,4306,5
671,4308,4
671,4880,4
671,1673,4
671,1676,3
671,1704,4
671,2064,4
671,2194,4
671,2291,5
671,2324,4
671,2396,4
671,2401,4
671,2502,4
671,2571,5
671,2683,4
671,2762,4
671,2795,4
671,2797,4
671,2804,5
671,2858,4
671,2918,4
671,2997,5
671,3052,1
671,3060,4
671,3147,4
671,3160,3
671,3253,3
671,3271,4
671,3386,4
671,3421,4
671,3481,2
671,3671,3
671,3751,4
671,3897,2
671,745,4
671,919,4
671,1035,5
671,1036,4
671,1080,4
671,1136,5
671,1148,5
671,1196,5
671,1197,4
671,1198,5
671,1206,3
671,1220,4
671,1223,3
671,1225,4
671,1240,4
671,1259,4
671,1265,4
671,1291,4
670,527,5
670,1183,5
670,1617,2
670,1704,4
670,2291,4
670,2571,4
670,2628,4
670,2683,5
670,2723,2
670,2759,5
670,2858,3
670,2912,5
671,1,5
671,36,4
671,50,5
671,230,4
671,260,5
671,296,4
671,318,5
671,356,5
671,357,3
671,432,3
671,457,4
671,529,4
671,551,5
671,589,5
669,1135,3
669,1210,3
669,1304,5
669,1513,3
669,1953,4
669,2174,3
669,2395,4
669,2396,4
669,2599,4
669,2683,4
669,2688,3
669,2702,3
669,2706,4
669,2713,2
669,2719,2
669,2722,2
669,2772,3
669,2840,4
669,2881,3
669,2976,4
669,3016,3
669,3174,3
669,3219,3
669,3326,2
669,3453,2
669,3752,4
669,3826,2
669,3863,3
669,4015,2
670,1,4
670,32,3
670,34,4
670,36,4
670,47,5
670,50,5
670,110,3
670,318,5
670,457,4
668,3039,3
668,3213,3
668,6425,1
669,223,4
669,260,5
669,785,4
667,380,3
667,417,4
667,446,4
667,454,3
667,457,3
667,468,3
667,509,3
667,551,3
667,597,3
667,661,4
667,736,4
667,745,5
667,1148,5
667,1199,5
668,296,5
668,318,4
668,720,3
668,1213,5
668,1221,5
668,1233,4
668,1490,1
668,2324,5
668,2908,5
668,2997,5
668,3000,3
666,597,2
667,11,3
667,17,2
667,32,5
667,36,4
667,41,5
667,58,4
667,95,3
667,110,4
667,151,3
667,161,4
667,165,3
667,225,3
667,236,3
667,265,4
667,266,3
667,292,3
667,296,5
667,339,3
667,342,4
667,349,4
667,356,4
667,357,3
665,5679,3
665,5952,5
665,6238,3
666,10,3
666,19,3
666,39,2
666,110,2
666,162,5
666,165,2
666,196,2
666,236,3
666,252,1
666,292,3
666,296,4
666,329,2
666,344,4
